,
,
Compounds with Combined Cancer Drug Scaffolds Inhibit Cancer Cell Proliferation at Nanomolar Concentrations,"Purdue University researchers have developed compounds that are anti-proliferative against multiple cancer cell types. Cancer results from genetic alterations that impose uncontrolled proliferation of cells. Therefore, developing molecules to debilitate cellular proliferation would prove an effective treatment for cancers. Purdue researchers optimized a synthetic method to quickly synthesize a library of compounds containing combined cancer drug scaffolds via a multi-component Povarov reaction. The researchers investigated the anti-proliferative effects of the compounds by a primary screen in the MDA-MB-231 triple-negative breast cancer cell line. Analogs of the most potent compounds were further tested against the NCI-60 cancer cell panel and exhibited anti-proliferative effects on melanoma, leukemia, breast, lung, and renal cancer cell lines with GI50 values at sub micromolar concentrations. These molecules are also promising because they have a high fraction of sp3 carbons increasing their drug like characteristics. The compounds' potency toward multiple cancer cell lines and drug like properties make them promising candidates for future therapeutic development.Advantages: -Combined Anti-Cancer Scaffold-Easily Synthesized Compounds-Increased Drug-Like CharacteristicsApplications: -Cancer Therapies-Cancer Relapse TherapiesRelated Publication:HSD1787, a Tetrahydro-3H-Pyrazolo[4,3-f]Quinoline Compound Synthesized via Povarov Reaction, Potently Inhibits Proliferation of Cancer Cell Lines at Nanomolar ConcentrationsACS Omega 2020, 5, 37, 23799-23807DOI: 10.1021/acsomega.0c03001"
Targeting T Cells in Tumor Microenvironments through Immunotherapy,"Researchers at Purdue University have created a ligand-targeted drug for reprogramming the body's immune system to eliminate cancer. This targeting strategy introduces a new frontier in medicinal chemistry and cancer therapeutics. Currently, cancer cells rather than immune cells in the tumor microenvironment are studied to develop therapies for solid tumors. However, immunoinhibiting regulatory T cells (Tregs), which are abundant in tumor microenvironments, can have greater potential to regenerate anti-tumor immunity. The approach developed by Purdue University involves the reprogramming of Tregs using of a targeting molecule with specificity for Tregs that can deliver an attached inhibitory drug solely to Tregs. Uptake of this inhibitory drug by the tumor Tregs then blocks the Tregs immunosuppressive properties and thereby allows the patient's immune system to eradicate the tumor. By targeting the therapeutic drug in this manner, the immunoinhibiting function of Tregs can be silenced without changing the immune system elsewhere in the body. Advantages:-Strong binding affinity-Small molecule treatment of tumors-Reprograms the immune systemPotential Applications:-Cancer Therapy-Molecular Medicinal Chemistry-Biopharmaceutical Manufacturing"
Bone Fracture Repair by Targeting of Bone Anabolic Agents,"Current research on healing bone fractures either focuses on localized application of a nontargeted bone anabolic agent or a systematic administration of a nontargeted bone anabolic agent that have off-target effects. Both methods lack the desired efficiency and effectivity to treat bone fractures.Researchers at Purdue University have developed a targeted bone anabolic agent capable of accelerated fracture healing. By using a construct that self-assembles into micelles, the technology targets bone fractures to a greater extent than healthy bone, releases drug under physiological conditions, and accelerates fracture healing. This technology utilizes a nontoxic acidic oligopeptide that increases accumulation of the drug in fractures, reduces the accumulation in healthy tissue, and uses a cleavable linker to extend the release of the drug in the fracture site, resulting in faster fracture healing.Advantages-Nontoxic acidic oligopeptide increases accumulation of the drug in fractures and decreases drug accumulation in healthy tissue. Potential Applications:-Medical/Health-Orthopedics-Pharmaceuticals"
Potent Small Molecule PD-1/PD-L1 Interaction Inhibitors for Cancer Immunotherapy,"Purdue University researchers have developed a potent small molecule for use in cancer immunotherapy which acts by inhibiting the Programmable Cell Death Protein 1/Programmable Death-Ligand 1 (PD-1/PD-L1) interaction. Cancer cells express PD-L1, a cell surface protein that binds to PD-1 on T-cells, debilitating anti-cancer immunity.  Antibodies targeting the PD-1/PD-L1 interaction have proven to be a viable therapeutic strategy toward mitigating cancer growth but suffer from high production costs, limited administration techniques, and low therapeutic indices. To address these limitations, Purdue University researchers created a small molecule inhibitor of the PD-1/PD-L1 interaction that specifically target PD-1 dimerization. The researchers developed the new molecule through robust computational modeling of publicly available PD-1/PD-L1 inhibitory data. In homogenous time-resolved fluorescence binding assays the Purdue compound exhibited about 1.6 fold increased potency in inhibiting the PD-1/PD-L1 interaction compared to a positive control molecule known from the patent literature (IC50 = 339.9 nM and 521.5 nM, respectively). Further medicinal chemistry optimization promises to increase potency and yield an excellent preclinical candidate for use in small molecule immune checkpoint blockade therapy.Advantages:-Increased Potency to PD-1/PD-L1 Interaction-Combined Scaffolds of BMS CompoundsPotential Applications:-Immune Checkpoint Blockade-Cancer Therapeutics Related Publication:Combined Molecular Graph Neural Network and Structural Docking Selects Potent Programmable Cell Death Protein 1/Programmable Death-Ligand 1 (PD-1/PD-L1) Small Molecule InhibitorsPreprint available at chemrixiv.orgDOI: 10.26434/chemrxiv.12083907.v1"
Weaponizing Ubiquitin to Target Ubiquitin-C Terminal Hydrolase L1,"Researchers at Purdue University have developed a ubiquitin protein mutant that will selectively bind Ubiquitin C-Terminal Hydrolase L1 (UCHL1) enzyme over all other deubiquitinating enzymes (DUBs) expressed in cells. The ubiquitination process involves adding the ubiquitin protein to substrate proteins. This protein conjugation event can have different cellular effects on the substrate protein depending on the location and length of the ubiquitin linkages. DUBs are proteins that are responsible for cleaving ubiquitin linkages to maintain ubiquitin levels in the cell. One such enzyme, UCHL1, is overexpressed in a multitude of aggressive cancers and is involved with neurological diseases like Parkinson's disease and Alzheimer's disease. However, the specific role UCHL1 plays in these disease states remains enigmatic.  Researchers at Purdue University have developed a macromolecular ubiquitin mutant for probing UCHL1's activity in a cellular environment. This technology offers a novel approach to studying UCHL1's role in certain disease states by probing intracellular UCHL1 activity in real time, a feat that has not been accomplished with any deubiquitinating enzyme.  Also, this technology can be repurposed to provide a covalent macromolecular inhibitor of UCHL1, providing another layer of novelty to UCHL1 activity studies.Advantages:-UCHL1 Selective Probe -Real Time UCHL1 Activity Assay -Multi-Disease RelevancePotential Applications:-Probe Intracellular UCHL1"
Selective Reprogramming of Pulmonary Macrophages for Treatment of Idiopathic Pulmonary Fibrosis,"Researchers at Purdue University have developed molecular agonists to reverse idiopathic pulmonary fibrosis (IPF) by reprograming fibrotic macrophages to the non-fibrotic state. IPF is a lung disease that is characterized by rigidification of the lung resulting and a gradual loss in ability to mediate gas exchange leaving patients in a hypoxic state that increases gradually over the course of the disease. Current treatment options for IPF are only able to slow the rate of disease progression and none are able to reverse the existing fibrosis. With around 40,000 new cases of IPF diagnosed each year, a curative treatment option would be beneficial in treating IPF. Activated macrophages and activated fibroblasts are two cell types play a prominent from in IPF. Activated macrophages secrete signals that activate lung fibroblasts, the cells responsible for fibrotic tissue generation. Therefore, shutting down the activated macrophage secretion signals would provide a potential curative treatment option for IPF. Researchers at Purdue University have identified molecules that target Toll-like receptor 7 selectively on the macrophage surface to shut down signals secreted that activate fibroblasts. These molecules have been tested in histological and mouse models.Advantages:-Selective targeting of fibrotic macrophagesPotential Applications:-Reverse idiopathic pulmonary fibrosis-Possible combination therapy with existing therapeutics"
Water Soluble Human Calcitonin for Treatment of Osteoporosis and Calcium-related Disorders,"Researchers at Purdue University have developed a prodrug form of the peptide hormone, human calcitonin, to increase its effectiveness as an osteoporosis treatment. In humans, calcitonin is the hormone responsible for normal calcium homeostasis. When prescribed to osteoporosis patients, calcitonin inhibits bone resorption resulting in increased bone mass. Unfortunately, human calcitonin undergoes fibrillation in aqueous solution leading to reduced efficacy when used as a therapeutic. As a substitute, osteoporosis patients are prescribed salmon calcitonin which does not fibrillate as rapidly but suffers from low potency and immunotoxicity. To decrease the fibrillation propensity and increase the therapeutic benefit of human calcitonin, Purdue researchers phosphorylated specific amino acid residues. This modification's ability to inhibit fibril formation was validated in comparison to the unphosphorylated calcitonin through thioflavin T- fluorescence, hydrogen-deuterium exchange mass spectrometry, and circular dichroism. This prodrug approach will increase the therapeutic potential of human calcitonin, promising a more effective option to replace salmon calcitonin for osteoporosis and related disorders.Advantages:-Stable solution of human calcitonin-Higher potency than salmon calcitonin-Less toxicity than salmon calcitoninPotential Applications:-Drug Development-Osteoporosis Treatment-Hypercalcemia Treatment"
Nanoparticle Chemotherapeutic Delivery System that Aids in Development of Antitumor Immunity,"Researchers at Purdue University have developed a nanoparticle-based system for sustained release of chemotherapeutic drugs at low doses that leaves antitumor immune cells with full functionality. Chemotherapy has been a mainstay in cancer treatment because of the anti-proliferative effects it imposes on tumor cells. Several chemotherapeutic treatment options result in generation of cancer antigens that aid in the activation of the host’s antitumor immune response. Paradoxically, these treatment options also damage immune cells, diminishing their antitumor effect. In response to this shortcoming of traditional chemotherapies, Purdue’s researchers developed a system to deliver chemotherapeutics and keep immune cells healthy. Their nanoparticle delivery system also elicits an enhanced immunogenic response compared to other chemotherapeutic delivery options along with increasing the metabolic stability and tumor retention of chemotherapeutic drugs. The chemotherapeutic, carfilzomib, formulated with this delivery system showed consistently greater antitumor effects against two tumor types in a mouse model compared to the cyclodextrin-solubilized drug.Advantages-Sustained Release of Chemotherapeutic Drug-Enhanced Immune Response-Increased Drug Metabolic Stability Potential Applications-Chemotherapy-Cancer TreatmentRelated Publication:Sustained Delivery of Carfilzomib by Tannic Acid-Based Nanocapsules Helps Develop Antitumor ImmunityNano Lett. 2019, 19, 11, 8333-8341DOI: 10.1021/acs.nanolett.9b04147Domain: Pharmaceuticals"
