A Lab-on-Chip Platform for Measuring Real-time Nondestructive Extracellular Matrix Stiffness,"Researchers at Purdue University have developed a method of in vitro measurement of extracellular matrix (ECM) stiffness that is nondestructive and provides fast readout. ECM stiffness has recently been found to be a contributing factor in cancer or fibrotic disease development including cell differentiation and rapid cell multiplication. Current technologies used to measure ECM stiffness in vitro are often invasive and expensive as well as sometimes limited to detecting cell destruction only after detrimental cell deformations have already occurred. The approach fine-tuned by Purdue researchers is includes a noninvasive on-chip platform that monitors ultrasonic wave attenuation thereby noninvasively characterizing ECM stiffness with up to 93% accuracy. The new low-cost sensors can continuously detect dynamic changes in vitro for up to two days while maintaining thermal stability. The highly selective, biocompatible sensors can also be implemented in applications including drug screening, drug discovery, and 3D cell cultures.   Advantages:-Low cost -Nondestructive -Accurate -Thermal Stability -Mechanical StabilityPotential Applications:-Biomedical -Research -3D Cell Cultures -Drug Screening -Therapeutic Efficacy Monitoring Recent Publication:  A Lab-on-Chip Ultrasonic Platform for Real-Time and Nondestructive Assessment of Extracellular Matrix Stiffness Royal Society of Chemistry's Lab on a Chip Journal  DOI: 10.1039/C9LC00926D"
Thermally Activated Ultrasound Contrast Agents,"Researchers at Purdue University have created a new thermally activated ultrasound contrast agent composed of nanodroplets. Unlike current technologies, the contrast agent solution lasts in the body for days if not up to months. This advantage greatly enhances patient care by eliminating need for repeated use of contrast agents. Another problem with traditional typical gas-filled solutions is product loss, as heat in the body can pop the gas bubbles. The agent created by Purdue researchers is activated by heating it outside the body to ensure that it remains stable. In addition, nanodroplets in the new contrast agent can reach as far as endothelial cells for enhanced imaging, whereas traditional agents have not been able to produce high-resolution images. These nanodroplets can be labeled for a variety of biomedical applications, as well, including tumor detection and tracking cells.Advantages:-Stable-Long Lasting -Heat Activated -Easy to LabelPotential Applications:-Ultrasound Imaging -Drug Delivery -Tumor Detection -Tracking Cells"
High Throughput Cancer Treatment Screening with Magnetic Actuation Platform,"Researchers at Purdue University have developed a biomimetic platform using magnetic actuators for in vitro cell seeding. The setup is compatible with multi-well plates and allows for high throughput, thereby reducing the time needed to develop targeted cancer therapies. Cancer treatment screening typically involves use of a synthetic polymer-based substrate, which leads to undesired defects in cell cultures. These polymer substrates are controlled by electromechanical forces that do not accurately replicate natural cell environments. However, Purdue researchers have used magnetic actuators that are adaptable in both amplitude and frequency to apply specific strain that accurately suspends cells over a gap between actuators. In testing with 18,000 cells, within 24 hours a cell culture was ready to be studied. The system allows researchers and medical professionals to capture dynamic physiological conditions in 3D.Advantages:-Biomimetic-Enhanced cancer therapy-High throughputPotential Applications:-Cancer screening-Microbiology-Tissue engineering"
Pupillometer with Direct and Consensual Pupillary Reflex Measurement and Disease Classification,"Researchers at Purdue University have developed a new pupillometer for detecting sensory and motor function in the brain. The highly sensitive pupillometer can evaluate activity in the optic nerve and oculomotor nerve as well as conduct stem assessment. In addition, the device uses a convolutional neural network (CNN) to compare results with a deep learning database to pinpoint lesions. Currently, pupillometers are only adapted to check one eye at a time, but often there can be damage to a consensual reflex that goes unnoticed. Purdue researchers have fine-tuned their pupillometer to feature a telecentric lens that enhances biodynamic image acquisition and thereby allows optometrists to obtain highly accurate measurements for reliable diagnostics. In addition, researchers integrate an invisible infrared light source instead of traditional visible light to prevent artifacts from appearing in one's vision.Advantages:-Accurate-Fast image acquisitionPotential Applications:-Optometry-Health Monitoring"
Fluorescent Probes for Monitoring Serine Ubiquitination by Bacterial Enzymes,"Purdue University researchers have developed a fluorometric assay for real-time monitoring of ubiquitination events catalyzed by bacterial SidE enzymes in Legionella infections. The assay is well suited for high-throughput identification of Legionella infection inhibitors. The enzymes of the Legionella SidE family catalyze host protein ubiquitination events via a recently discovered mechanism distinct from ubiquitination by eukaryotic enzymes and are required for optimal Legionella infection. Contemporary methods to investigate the ubiquitination activity of SidEs include mass spectrometry and SDS-PAGE gel shift assays. These current techniques are not continuous, only measuring the end point of the reaction, and are not amenable to high throughput formats. Purdue researchers synthesized a fluorescently labelled synthetic substrate peptide for SdeA, a member of the SidE family, that displays a change in fluorescence polarization when ubiquitinated by the enzyme. This technology is amendable to high throughput screening and will assist in discovery of inhibitors for Legionella infection as well as identifying and characterizing SidE-like enzymes in other bacterial species. Advantages:-Real-Time SidE Ubiquitination Analysis-Amenable to High Throughput ScreeningPotential Applications:-Legionella Research-Investigating Ubiquitination Events-Fluorescence PolarizationRelated Publication: Fluorescent Probes for Monitoring Serine Ubiquitination Biochemistry 2020, 59, 13, 1309–1313 ​https://doi.org/10.1021/acs.biochem.0c00067"
CAFs are a leading reason for ineffective cancer treatments,"Researchers at Purdue University have developed a method for making drug conjugates through antifibrotic ligand-targeting. Currently, Cancer-Associated Fibroblasts (CAFs) tend to progressively resist pharmacotherapies. CAFs are responsible for spontaneous cell motility, growth of tumors, and often cancer relapse in patients. Aiming to provide sensitive patient care, the Purdue University drug conjugate reduces immunosuppression and chemoresistance. The drug can be used for treating fibrosis, rheumatoid arthritis, wounds, and cancers. Epithelial carcinomas can now be detected non-invasively, and when tested in mice ninety-eight percent of fibroblast cells were accurately detected. In addition, this conjugate-based method can be used to prevent and treat idiopathic pulmonary fibrosis disease, which remains untreated in one hundred twenty-eight thousand people.Advantages:-Ligand-targeted -Enhanced pharmacotherapy-Precise identification of tumor microenvironmentsPotential Applications:-Imaging for cancer and inflammatory diseases-Cancer therapy"
Water Soluble Human Calcitonin for Treatment of Osteoporosis and Calcium-related Disorders,"Researchers at Purdue University have developed a prodrug form of the peptide hormone, human calcitonin, to increase its effectiveness as an osteoporosis treatment. In humans, calcitonin is the hormone responsible for normal calcium homeostasis. When prescribed to osteoporosis patients, calcitonin inhibits bone resorption resulting in increased bone mass. Unfortunately, human calcitonin undergoes fibrillation in aqueous solution leading to reduced efficacy when used as a therapeutic. As a substitute, osteoporosis patients are prescribed salmon calcitonin which does not fibrillate as rapidly but suffers from low potency and immunotoxicity. To decrease the fibrillation propensity and increase the therapeutic benefit of human calcitonin, Purdue researchers phosphorylated specific amino acid residues. This modification's ability to inhibit fibril formation was validated in comparison to the unphosphorylated calcitonin through thioflavin T- fluorescence, hydrogen-deuterium exchange mass spectrometry, and circular dichroism. This prodrug approach will increase the therapeutic potential of human calcitonin, promising a more effective option to replace salmon calcitonin for osteoporosis and related disorders.Advantages:-Stable solution of human calcitonin-Higher potency than salmon calcitonin-Less toxicity than salmon calcitoninPotential Applications:-Drug Development-Osteoporosis Treatment-Hypercalcemia Treatment"
Human Monoclonal Folate Receptor Beta Antibody,"Folic acid is a vitamin required for the synthesis of DNA nucleotide bases and is essential for proliferation of all cells. To take in folic acid, some cells express a folate receptor that binds folic acid very tightly and carries it into the cell via endocytosis. There are four types of folate receptors: alpha; beta; gamma; delta, and these receptors are preferentially overexpressed on cancer cells.  Purdue University researchers have developed a method for using a human monoclonal antibody against beta folate receptors. By targeting cancer cells and binding antibodies to the beta folate receptors on those cells, researchers can block some of the beta folate receptors on the cells. This lowers the amount of folic acid the cancer cell is receiving and prevents its rapid proliferation. By attaching chemical groups to the antibody, e.g. therapeutics or imaging agents, this approach can be used to potentially treat or identify cancers. It is particularly useful for targeting of chronic and acute leukemia, and has potential to treat these disorders, along with immunological conditions such as rheumatoid arthritis. Advantages:-Lowers the amount of folic acid cancer cells take in-Potential cancer treatment-Also treats inflammatory disorders"
Tool to Identify Host Proteins Involved in Viral and Bacterial Pathogenesis,"Purdue researchers have developed a chemical probe to facilitate quantitative proteomic analysis of potential drug targets for infectious diseases, identifying interactions between infectious particles and host proteins. Pathogens rely on their host's cells to proliferate and must bind to host cellular components. The weak and often transient nature of these interactions make capturing these interactions difficult due to harsh measures available to isolate such interactions. To aid in mitigating the high false positive rate brought about by these contemporary methods, Purdue researchers have synthesized chemical probes to label bacteria or virus particles that crosslink with interacting host proteins during infection. The probe contains a modifiable isolation tag to allow for identification of host proteins through mass spectrometry. The researchers have demonstrated this technology by isolating host proteins that directly interact with Salmonella and Zika virus, which might be critical for their pathogenesis. This method could serve as a universal tool to map the entry pathway of other pathogens.Related Publication:Tracking Pathogen Infections by Time-Resolved Chemical ProteomicsAngewandte Chemie, Feb 2020, Vol.132(6), pp.2255-2260DOI: 10.1002/anie.201911078Advantages:-Able to identify previously unknown protein interactions-High throughputPotential Applications:-Drug development-Viral and bacterial pathogenesis research"
Electrochemical Detection Device for COVID-19 in Saliva,"Researchers at Purdue University have developed a wireless biosensor that contains DNA primers for nCOVID-19 in order to rapidly and non-invasively test for the virus in patient saliva. Current technology for nCOVID-19 testing is often invasive, is not efficient, or involves testing for antibody activity rather than viral strands. The platform created by Purdue researchers features an inkjet-printed gold electrode that allows for communication with a software application so that electronic readout can be conducted on-site. The electrochemical device has been evaluated in-lab at Purdue University with a library of nCOVID-19 DNA primers to achieve distinction between nCOVID-19, the flu, and other viruses for enhanced detection.Advantages:-Rapid -On-site -Accurate -WirelessPotential Applications:-Biomedical -Sensors"
