Targeting T Cells in Tumor Microenvironments through Immunotherapy,"Researchers at Purdue University have created a ligand-targeted drug for reprogramming the body's immune system to eliminate cancer. This targeting strategy introduces a new frontier in medicinal chemistry and cancer therapeutics. Currently, cancer cells rather than immune cells in the tumor microenvironment are studied to develop therapies for solid tumors. However, immunoinhibiting regulatory T cells (Tregs), which are abundant in tumor microenvironments, can have greater potential to regenerate anti-tumor immunity. The approach developed by Purdue University involves the reprogramming of Tregs using of a targeting molecule with specificity for Tregs that can deliver an attached inhibitory drug solely to Tregs. Uptake of this inhibitory drug by the tumor Tregs then blocks the Tregs immunosuppressive properties and thereby allows the patient's immune system to eradicate the tumor. By targeting the therapeutic drug in this manner, the immunoinhibiting function of Tregs can be silenced without changing the immune system elsewhere in the body. Advantages:-Strong binding affinity-Small molecule treatment of tumors-Reprograms the immune systemPotential Applications:-Cancer Therapy-Molecular Medicinal Chemistry-Biopharmaceutical Manufacturing"
Mass Tag Analysis for Rare Cells and Cell Free Molecules,"There are many research methods related to rare cell identification given its importance to the early detection of rare diseases and cancer. Current research methods have specific problems, such as fluorescent tagging disrupts the chemistry of the cell, dilution methods lack accuracy, and mass tagging's minute scale of observation.Researchers at Purdue University have developed a method of analyzing rare cells and molecules using mass tags, filtration, ionization, and mass spectrometry. Through ionization, heterogeneous fluids, e.g., blood samples, can be processed for a better mass reading once the samples go through an ordinary mass spectrometer. Since it is not an additive refinement process, there is no concern for the disruption of the cell's chemical makeup. This method can determine whether there is a presence of rare cells, identify the cells, and quantify the number of cells. With all of this data, more accurate diagnoses can be made.	Advantages:-Quantifiable data-No chemical alterationsPotential applications:-Molecule identification-Rare disease diagnosis"
Thermoelectric sensor for detecting viruses like SARS-CoV-2,Purdue University researchers have ideated a thermoelectric sensor which selectively identifies exothermic viral pathogen reactions utilizing the Seebeck effect. The sensor offers fast and precise readouts through detecting temperature changes through a voltage readout after interactions of pathogen antigen/antibody. Silicon material is used as the sensor's base material facilitating scale up through standard device fabrication processes. Modification of this technology to pathogen RNA/complementary DNA hybridization amplify the voltage change in patients with low viral load. This sensor can be used for a wide range of diseases with high epidemic potential increasing the utility.Advantages:-Fast and precise diagnostics-Label free viral detection-No RNA preparation needed-Easy scale-up manufacturingPotential Applications:-COVID-19 diagnostic-Epidemic testing
Collaborative Computing Platform for Health Data,"Researchers at Purdue University have developed a new method of collaborative cloud computing for electronic medical records. Current software databases used by healthcare providers, hospitals, and insurance providers must be translated between different programming languages and platforms in order to communicate patient needs. The Purdue researchers' approach integrates and aggregates vital data from Apache Hadoop, Jupyter Hub, Kubernetes, and Apache Hive databases into one system. This database architecture enhances parallelization, performance, and query processing time. The software program created by Purdue University improves data memory, mapping, and storage as well as local and global accessibility through an innovative authentication process. In testing with Center Health Fact data from 750 hospitals specific to over 69 million unique patients collected over the years 2000-2018, this tool was able to sift and report data with exceptional efficiency. Advantages:-Efficient-Cost-effective-Secure-Convenient-AccuratePotential Applications:-Healthcare-Insurance-Patient careCollaborative Cloud Computing Framework for Health Data with Open Source TechnologiesarXiv:2007.10498"
Human Monoclonal Folate Receptor Beta Antibody,"Folic acid is a vitamin required for the synthesis of DNA nucleotide bases and is essential for proliferation of all cells. To take in folic acid, some cells express a folate receptor that binds folic acid very tightly and carries it into the cell via endocytosis. There are four types of folate receptors: alpha; beta; gamma; delta, and these receptors are preferentially overexpressed on cancer cells.  Purdue University researchers have developed a method for using a human monoclonal antibody against beta folate receptors. By targeting cancer cells and binding antibodies to the beta folate receptors on those cells, researchers can block some of the beta folate receptors on the cells. This lowers the amount of folic acid the cancer cell is receiving and prevents its rapid proliferation. By attaching chemical groups to the antibody, e.g. therapeutics or imaging agents, this approach can be used to potentially treat or identify cancers. It is particularly useful for targeting of chronic and acute leukemia, and has potential to treat these disorders, along with immunological conditions such as rheumatoid arthritis. Advantages:-Lowers the amount of folic acid cancer cells take in-Potential cancer treatment-Also treats inflammatory disorders"
Inactivation of Airborne Viruses using Aerosols or vapor of Photoreactive FDA-Approved Food Coloring Dyes ,"​Purdue University researchers have developed a voluminous antiviral phototherapy technique that uses aerosols or vapor of FDA-approved food coloring dyes to mitigate risk of airborne transmission of pathogens. Many viruses and bacterial diseases are transmitted through air, making it critical to disinfect and sanitize large volumes of indoor air where many people are present. Contemporary disinfection methods include using biohazardous materials such as aerosolized hydrogen peroxide and cancer-causing UV illumination, limiting their utility indoors and exemplifying the need for biocompatible air sanitation methods in population dense areas. To address this need, Purdue University researchers have demonstrated visible light activation of several FDA-approved food coloring dyes generate singlet oxygen, which can be used to kill airborne pathogens. The short traveling distance of singlet oxygen (less than 300 nm) acts as a safeguard against human exposure. They have also ideated an electrostatic spray system for the dyes allowing for uniform fog-like dispersion to minimize wetting. In addition, as healthcare workers are often infected when removing personal protective equipment (PPE), this technology can be installed in a confined chamber for healthcare professionals to change PPE in hospital settings. Advantages:-Non-UV light Illumination-No Need for Carcinogenic Nanomaterials-Safe, Increase Reusability of PPE-Minimize Solvent UsagePotential Applications:-Healthcare-Hospital Acquired Infection Mitigation-Personal Protective Equipment (PPE)COVID-19 Pandemic"
N95 Filter/Mask Combination for Mitigation of Respiratory Disease Transmission,​COVID-19 and other respiratory diseases spread through small aerosolized droplets produced by infected individuals. These small droplets stay suspended in the air for hours and can be inhaled by the non-infected populace leading to spread of the disease. Typical cotton masks/face coverings are not effective at stopping droplets from being inhaled or potentially spread by infected individuals. Purdue University researchers have developed a pocket containing mask/interchangeable filter combination which when used together provide more protection than cotton masks alone. The pocket functions as an insert location for the filter placed over the mouth of the wearer. These filters can be easily attached to other cotton masks/face coverings as well via provided tape or Velcro. The filter is made of antibacterial and superhydrophobic N95 material and provides a simple alternative to the N95 masks while using less resources to produce. Advantages:-Less Resource Intensive-Increased Protection from Respiratory DiseasesPotential Applications:-COVID-19 Pandemic-Respiratory Diseases-Healthcare System-Preventing Infection Spread
"Pod: An At-Home, Portable, Universal Allergen Detector","An Industrial Design student at Purdue University has developed a new allergen detector known as Pod to identify allergens in food items. Current technology is mainly focused on gluten or peanut allergies, and available kits for testing food items often involve microlaboratory setups that are inconvenient to use. The small, stylish design created by Purdue University features a magnetic backing for placement on a refrigerator and is also portable to carry for everyday use such as for restaurants or grocery stores. In addition, food labels can also be scanned by Pod to check for potential allergens, providing added peace of mind.  Advantages: -Convenient-Portable-Accurate -Can detect multiple allergens Potential Applications:-Food Safety -Everyday Lifestyle-Medical/Patient Care"
Deep Tissue High Resolution Neuroimaging,"Researchers at Purdue University have discovered a method for estimating the location of fluorescent targets that are embedded at millimeter and centimeter depths in biological tissue that enables imaging with very high spatial resolution. By combining the estimated location of many inhomogeneities, a super-resolution image can be formed. This invention has the potential to have a major impact on the study of brain science, because neuron activation can modulate fluorescence emission in space and time.Advantages:-Direct Access to Neuron Activation-Super-resolution of NeuronsPotential Applications:-Brain Imaging-Brain Disease Diagnostics"
Strain Gauge Integrated Magnetic Microactuator for Smart Self-Clearing Catheter,"Hydrocephalus is a neurological disease characterized by an excessive accumulation of cerebral spinal fluid (CSF) in the ventricles of the brain. Treatment requires the implantation of shunts through which CSF can be drained from the brain.  However, the failure rate of these systems remain high, especially among children. According to the Journal of Neurosurgery, a study conducted from April 2008 to December 2011 reported that 33% out of 1036 patients experienced shunt failure. Common causes of failure include obstruction, over-drainage, and loculated ventricles.Researchers at Purdue University have developed an implantable catheter capable of obstruction detection and removal, device alignment, and flow rate measurement. Previously, Purdue researchers introduced a fully integrated self-clearing implantable catheter that was able to clear obstructions, but found that once the device was implanted it was impossible to determine whether the device was oriented properly or actuating as expected. With new additions, in real-time the catheter can detect obstructions, confirm device alignment, and measure the CSF flow-rate on top of the existing biofouling-removal capabilities of the microactuator in the catheter. This device has demonstrated the ability to solve one of the largest challenges that clinicians encounter with chronically implanted catheters. Advantages:-Obstruction Detection-Device Alignment-Flow Rate Measurement-Self-Clearing-Ease of FabricationPotential Applications: -Hydrocephalus Treatment"
Optical Detection Of Neurological Alterations,"Researchers at Purdue University have developed a new non-invasive technology to detect neurological alterations caused by disease and/or injury. The current Pupillary light reflex (PLR) tests are conducted by pen light exam, which tends to be heuristic, empirical, qualitative often leading to misdiagnosis due to human error. Even though there are some quantitative pupillometry devices that are available in the market, it is often associated with high startup cost and a work accurately under a narrow range of conditions. This PLR technology developed at Purdue uses elegant mathematical modeling to detect neurological alterations. It is compatible with any imaging platform and eye color. It delivers automated, accurate, objective measurements in real-time.Advantages:-Portable- Easy to use-Accurate- AutomatedPotential Applications:-Monitor neurological alterations due to disease and/or injury"
