Multicolor Reporter Cells for Detecting and Quantifying HIV-1," It is estimated that half of new HIV infections in the U.S. are from patients who know they are HIV-positive but underestimate their transmissibility. Identifying and monitoring the latent HIV reservoir in these individuals could inform patient care and significantly reduce the incidence of new infections. Currently, tests for measuring the latent HIV reservoir are difficult to perform, time consuming and expensive. These include the quantitative viral outgrowth assay (Q-VOA). A simple and low-cost alternative could be a gamechanger in global health. "
Porous Silicon Nanomembranes for the Rapid Separation of Macromolecules by Size and Shape," The separation or isolation of proteins from a heterogeneous mixture is a common practice in scientific experimentation and the manufacturing of biologic reagents. Commercially available kits and current laboratory methods to achieve separation are based upon the average size of proteins in solution. This is a limitation when multiple macromolecules of similar calculated mass to a target are present. However, a nanomembrane with openings designed to filter specific structural shapes would allow, for instance, the separation of proteins beyond just their size and molecular weight. In addition, such nanomembranes have utility for the separation of other molecular structures possessing differences in shape as a result of genetic mutation. This includes some cancerous or pathogenic variants such as the pathogen responsible for chronic wasting disease (CWD), a prion protein that causes fatal neurological disease in deer, elk, and moose. While normal and pathogenic prions have identical masses, they differ in their structural shapes. The current methods for detecting these prions and CWD are limited by the proteins’ similarities in size often yielding false positives or resulting in delays in the testing process. Nanomembranes able to distinguish cancer markers or pathogenic species from the healthy or benign forms would provide another tool in the arsenal of advanced healthcare, personalized medicine, disease detection, and treatment. "
Noninvasive Assay for Bovine Embryo Quality," Selection intensity for higher milk production in dairy cattle has contributed to a decline in fertility, posing a challenge to dairy producers. Despite technological advances, the pregnancy rate of cows following in vitro fertilization (IVF) is only 45 percent, with increased risk for abortion and stillbirth. Conventionally, assessment of the quality and potential of embryos produced in vitro is largely based on morphology. However, morphologically similar embryos differ in developmental capacity likely due to underlying genetics. Moreover, the process is subjective and requires invasive sampling of the embryo and parental tissue.  There is clear and commercial opportunity for a noninvasive method that supports the efficient selection of high quality embryos. Such a method would improve the odds of successful IVF procedures, saving tens of thousands of dollars and reducing failed pregnancies. "
Blood Protein Biomarkers for Detection of Colon Cancer," Colorectal cancer is a major cause of cancer-related morbidity and mortality in developed nations, causing more than 600,000 deaths worldwide every year. While early detection of localized colorectal cancer often leads to complete cure by polypectomy or surgery, methods for early detection are limited in sensitivity and specificity, have low patient adherence to screening recommendations and place a strain on the capacity of clinical gastroenterologists. The current recommended screening procedures (e.g., colonoscopy, CT scan, Fecal Occult Blood Test or Exact Science's Cologuard stool test) can be non-specific, insensitive for the earliest operable lesions, are highly invasive or involve the patient handling stool specimens, which can also lead to low patient compliance. By contrast, a detection modality based on blood or serum samples may achieve much broader patient compliance and clinical coverage. "
Predicting Glucoregulatory Dysfunction," The term glucoregulatory dysfunction covers a spectrum of disorders from insulin resistance to prediabetes and diabetes. Problems associated with glucoregulatory dysfunction and obesity dominate health care costs in the U.S. today. The test used to identify glucoregulatory dysfunction (based on high blood glucose levels or glycosylated hemoglobin) works after the fact, i.e., it confirms the problem rather than initially detecting it. A better test, one that could be used to screen at-risk patients before they progress to a more serious condition, would enable earlier intervention and improved patient outcomes. "
Enhanced Endotoxin Detection: New Advantages in Liquid Crystal Assays for Gram-Negative Pathogens," Gram-negative bacterial infections are an ongoing challenge to health care providers worldwide. Detection, treatment and control of such pathogens have gained increasing importance in the context of antimicrobial resistance and emerging infectious disease. The LAL (Limulus Amoebocyte Lysate) assay, derived from the horseshoe crab, is typically used to detect the presence of Gram-negative bacteria and remains the only FDA-approved approach. While effectively detecting lipopolysaccharides (LPS) or lipid A (endotoxins present on membranes of Gram-negative bacteria) with a high degree of sensitivity, this complex, expensive assay is susceptible to low endotoxin recovery (LER) causing false positive and negative results in the presence of masking agents (e.g., buffers surfactants, cations, proteins, chelating agents and nucleic acids).  UW–Madison researchers previously developed a faster, more sensitive and less expensive method utilizing liquid crystals (LCs). LC droplets in an aqueous solution indicate the presence of endotoxin with a readily observable change in configuration from bipolar (two point defects) to radial (one point defect). This structural change allows for the detection of endotoxins at concentrations as low as 1 picogram per milliliter. "
Field Test for Mycobacterial Infections," Mycobacterial infections cause major health problems for people and animals, including human tuberculosis, bovine tuberculosis and Johne’s disease. Johne’s disease (or paratuberculosis) afflicts 91 percent of dairy herds in the U.S. and costs the industry an estimated $500 million every year. Bovine tuberculosis, which is caused by a different subspecies of the bacteria, is endemic in dairy herds and a threat to wildlife in many developed countries including the U.S., U.K. and Australia. Current diagnostic tests miss the early stages of infection and cannot differentiate infected from vaccinated animals (the DIVA principle). Early and reliable detection is imperative to control the infection in herds. "
Identification of Disease Characteristics Using Isotope Ratios in Breath, UW-Madison researchers previously described a method of determining whether or not an animal is suffering from a catabolic change by sampling isotope changes in breath or blood. 
Biomarkers for Detecting Prostate Cancer," Prostate cancer is the second most common cancer in American men, causing more than 27,000 deaths every year. An estimated one man in seven will be diagnosed with prostate cancer during his lifetime. Early detection is critical but today’s screening methods (prostate specific antigen or PSA testing, and digital rectal exam) are far from perfect. For example, PSA tests often detect non-significant cancers, leading to an estimated 50 percent of overdiagnoses. Needle biopsy has become the standard to confirm the diagnosis of prostate cancer, but eight to 30 punches may be required. The procedure is invasive, plagued by false negatives (as high as 34 percent) and may have to be repeated multiple times because of sampling errors. The development of an easy and accurate test to augment PSA screening would be of enormous benefit. "
Assay to Determine Risk of Fungal Infection," Fungal infections such as aspergillosis and Valley Fever can be life threatening, particularly in immune-compromised patients. These patients are vulnerable to fungal strains that flourish in hospitals and cost many thousands of dollars to treat. Currently there is no vaccine against fungi despite the escalating risk of infection and death. However, there is hope. UW–Madison researchers have developed a potential vaccine that could prevent infection by many strains of pathogenic fungi (see WARF reference number P130116US02). The new vaccine contains calnexin – a protein found in fungi and other eukaryotes – and could help a patient’s immune system recognize and combat infection. Building on their work, the researchers are now developing a way to determine the immune response of patients who may have a fungal infection. The ability to check immunity has important applications in human and veterinary medicine. "
